Year,Coal,Natural Gas,Nuclear,Hydroelectric,Solar,Wind,Other
2014,1581710,1126635,797166,253193,46615,261522,13393
2015,1352398,1334668,797178,243989,63925,270268,13955
2016,1239149,1379271,805694,261126,90920,305579,13689
2017,1205835,1297703,804950,293838,130564,332963,13008
2018,1149487,1471843,807084,286619,157190,350467,12973
2019,964957,1588533,809409,282613,178831,368862,13331
2020,773393,1626790,789879,279953,219920,408539,12855
2021,897999,1579190,779645,246473,279680,448424,12140
2022,831512,1687065,771537,248761,348866,502234,11114
2023,675115,1806063,774873,239012,404467,484708,9957
